nome_completo,cpf,data_nascimento,nome_mae,tipo_atendimento
Ana Clara Silva,10433218100,1988-03-15,Maria das Gracas Silva,consulta
Bruno Henrique Oliveira,96001338914,1995-07-22,Luciana Oliveira,exame
Carla Beatriz Souza,08386379499,1982-11-05,Teresa Cristina Souza,terapia
Diego Ramos Santos,02654235114,2001-01-30,Patricia Santos Ramos,exame
Eduarda Lima Ferreira,16155940789,1975-09-12,Francisca Lima,consulta
Felipe Augusto Rocha,81618495950,1990-04-18,Helena Rocha,terapia
Gabriela Martins Costa,31034131656,1998-12-25,Regina Celia Martins,exame
Heitor Alves Pereira,47525534144,1963-06-08,Raimunda Alves Pereira,consulta
Isabela Fernandes Melo,92832764851,2005-02-03,Claudia Fernandes,terapia
Joao Pedro Barbosa,35030564160,1989-10-14,Sonia Maria Barbosa,exame
